1,2,3,4,5,6,7,8,9,10,label
48,402,19296,8.375,0.055,0.094,4.13,1058,1814,256,5
304,463,140752,1.523,0.063,0.121,3.91,8898,17081,2273,5
306,465,142290,1.52,0.055,0.123,2.69,7861,17452,2925,5
45,79,3555,1.756,0.087,0.195,4.81,308,693,64,5
311,463,143993,1.489,0.088,0.16,3.93,12631,23092,3212,5
12,146,1752,12.167,0.091,0.128,26.67,160,225,6,5
212,464,98368,2.189,0.052,0.07,11.84,5066,6884,428,5
8,16,128,2,0.156,0.859,5,20,110,4,5
9,10,90,1.111,0.144,0.522,6.5,13,47,2,5
52,461,23972,8.865,0.192,0.248,11.52,4607,5938,400,5
38,70,2660,1.842,0.059,0.062,19.63,157,165,8,5
36,172,6192,4.778,0.128,0.337,4.84,793,2086,164,5
7,9,63,1.286,0.143,0.238,9,9,15,1,5
37,72,2664,1.946,0.12,0.257,7.64,321,685,42,5
49,79,3871,1.612,0.084,0.179,7.36,324,694,44,5
39,70,2730,1.795,0.09,0.255,7,245,697,35,5
31,71,2201,2.29,0.159,0.296,10.29,350,651,34,5
153,442,67626,2.889,0.114,0.215,6.27,7689,14538,1227,5
47,286,13442,6.085,0.183,0.317,4.67,2459,4258,526,5
36,96,3456,2.667,0.096,0.207,7.7,331,717,43,5
43,62,2666,1.442,0.08,0.17,6.63,212,454,32,5
33,28,924,0.848,0.098,0.271,5.69,91,250,16,5
17,60,1020,3.529,0.139,0.371,7.1,142,378,20,5
5,7,35,1.4,0.229,0.6,2.67,8,21,3,5
9,17,153,1.889,0.144,0.458,3.14,22,70,7,5
4,8,32,2,0.344,0.531,5.5,11,17,2,5
85,69,5865,0.812,0.165,0.441,1.44,969,2588,674,5
13,13,169,1,0.124,0.45,3.5,21,76,6,5
14,19,266,1.357,0.128,0.541,2.83,34,144,12,5
14,19,266,1.357,0.113,0.504,30,30,134,1,5
15,14,210,0.933,0.11,0.338,1.92,23,71,12,5
7,24,168,3.429,0.101,0.298,1.89,17,50,9,5
5,12,60,2.4,0.133,0.267,4,8,16,2,5
8,5,40,0.625,0.275,0.45,3.67,11,18,3,5
4,5,20,1.25,0.35,0.8,2.33,7,16,3,5
7,15,105,2.143,0.114,0.295,2.4,12,31,5,5
7,13,91,1.857,0.154,0.484,2,14,44,7,5
4,7,28,1.75,0.286,1,2,8,28,4,5
4,5,20,1.25,0.35,0.8,2.33,7,16,3,5
5,3,15,0.6,0.467,0.6,3.5,7,9,2,5
5,9,45,1.8,0.178,0.533,1.6,8,24,5,5
100,49,4900,0.49,0.093,0.4,1.77,458,1958,259,5
16,30,480,1.875,0.133,0.471,2.29,64,226,28,5
10,7,70,0.7,0.157,0.6,1.57,11,42,7,5
6,5,30,0.833,0.233,0.633,1.75,7,19,4,5
6,12,72,2,0.139,0.514,1.43,10,37,7,5
81,49,3969,0.605,0.113,0.398,2.26,449,1580,199,5
6,6,36,1,0.194,0.417,3.5,7,15,2,5
6,9,54,1.5,0.148,0.296,4,8,16,2,5
21,68,1428,3.238,0.052,0.109,5.69,74,156,13,5
7,47,329,6.714,0.158,0.289,5.78,52,95,9,5
13,8,104,0.615,0.154,0.769,1.07,16,80,15,5
8,1,8,0.125,0.875,1,7,7,8,1,5
8,9,72,1.125,0.125,0.319,4.5,9,23,2,5
9,6,54,0.667,0.407,0.519,5.5,22,28,4,5
10,12,120,1.2,0.208,0.583,1.67,25,70,15,5
24,18,432,0.75,0.139,0.377,2.07,60,163,29,5
14,17,238,1.214,0.113,0.387,1.8,27,92,15,5
22,22,484,1,0.107,0.473,1.79,52,229,29,5
16,4,64,0.25,0.156,0.531,5,10,34,2,5
16,21,336,1.313,0.095,0.515,1.6,32,173,20,5
13,5,65,0.385,0.123,0.538,8,8,35,1,5
7,11,77,1.571,0.117,0.494,1.8,9,38,5,5
36,48,1728,1.333,0.143,0.437,3.58,247,755,69,5
55,48,2640,0.873,0.142,0.364,4.26,375,960,88,5
53,48,2544,0.906,0.181,0.374,4.69,460,951,98,5
29,48,1392,1.655,0.116,0.268,5.06,162,373,32,5
21,4,84,0.19,0.31,0.643,3.71,26,54,7,5
19,47,893,2.474,0.078,0.112,3.89,70,100,18,5
13,5,65,0.385,0.323,0.554,5.25,21,36,4,5
25,9,225,0.36,0.187,0.436,2.47,42,98,17,5
8,4,32,0.5,0.438,0.594,7,14,19,2,5
17,9,153,0.529,0.209,0.497,1.88,32,76,17,5
5,4,20,0.8,0.45,0.65,4.5,9,13,2,5
9,4,36,0.444,0.25,0.75,9,9,27,1,5
12,4,48,0.333,0.292,1,2,14,48,7,5
6,5,30,0.833,0.367,1,2.2,11,30,5,5
6,13,78,2.167,0.103,0.449,4,8,35,2,5
4,11,44,2.75,0.159,0.932,1.75,7,41,4,5
54,48,2592,0.889,0.143,0.264,6.85,370,685,54,5
53,48,2544,0.906,0.157,0.269,7.84,400,685,51,5
52,48,2496,0.923,0.138,0.248,7.67,345,619,45,5
68,34,2312,0.5,0.224,0.526,2.44,519,1215,213,5
67,30,2010,0.448,0.169,0.46,2.26,339,924,150,5
20,39,780,1.95,0.14,0.405,3.21,109,316,34,5
6,17,102,2.833,0.137,0.627,2.8,14,64,5,5
37,20,740,0.541,0.131,0.193,4.22,97,143,23,5
34,25,850,0.735,0.256,0.534,2.06,218,454,106,5
34,27,918,0.794,0.219,0.554,3.09,201,509,65,5
36,43,1548,1.194,0.117,0.183,3.07,181,283,59,5
16,29,464,1.813,0.144,0.496,2.58,67,230,26,5
86,67,5762,0.779,0.164,0.935,2.37,947,5386,399,5
101,99,9999,0.98,0.14,0.778,2.02,1398,7780,691,5
30,60,1800,2,0.154,0.457,1.85,278,823,150,5
28,31,868,1.107,0.492,0.745,7.49,427,647,57,3
32,106,3392,3.313,0.198,0.395,4.56,671,1341,147,5
28,32,896,1.143,0.481,0.742,7.43,431,665,58,3
32,350,11200,10.938,0.142,0.402,3.96,1588,4497,401,5
29,31,899,1.069,0.463,0.726,6.93,416,653,60,3
31,105,3255,3.387,0.242,0.456,4.89,787,1485,161,5
28,32,896,1.143,0.488,0.743,7.05,437,666,62,3
31,105,3255,3.387,0.224,0.417,5.35,728,1358,136,5
28,32,896,1.143,0.462,0.722,7.02,414,647,59,3
31,37,1147,1.194,0.189,0.555,2.07,217,637,105,5
28,61,1708,2.179,0.172,0.509,1.97,294,870,149,5
28,31,868,1.107,0.508,0.767,7.47,441,666,59,3
30,61,1830,2.033,0.157,0.483,1.88,288,884,153,5
29,32,928,1.103,0.476,0.72,7.25,442,668,61,3
29,61,1769,2.103,0.121,0.431,1.78,214,762,120,5
29,32,928,1.103,0.432,0.689,6.27,401,639,64,3
153,158,24174,1.033,0.587,0.641,46.95,14180,15491,302,3
83,277,22991,3.337,0.18,0.365,6.86,4138,8387,603,5
83,149,12367,1.795,0.388,0.472,28.77,4804,5838,167,3
95,93,8835,0.979,0.675,0.902,3.63,5966,7968,1644,3
93,104,9672,1.118,0.451,0.611,4.25,4366,5908,1028,3
168,145,24360,0.863,0.798,0.963,13.06,19430,23457,1488,3
83,314,26062,3.783,0.298,0.671,8.75,7772,17482,888,5
187,137,25619,0.733,0.899,0.991,29.29,23025,25400,786,3
54,357,19278,6.611,0.299,0.655,6.4,5766,12626,901,5
132,547,72204,4.144,0.37,0.483,20.66,26693,34874,1292,3
178,140,24920,0.787,0.574,0.649,21.52,14292,16177,664,3
54,357,19278,6.611,0.324,0.644,6.22,6238,12422,1003,5
128,347,44416,2.711,0.399,0.567,13.07,17721,25163,1356,3
168,135,22680,0.804,0.82,0.904,62.81,18591,20513,296,3
83,315,26145,3.795,0.295,0.594,9.21,7725,15523,839,5
166,472,78352,2.843,0.359,0.547,17.12,28093,42821,1641,3
174,471,81954,2.707,0.339,0.433,15.84,27820,35499,1756,3
83,326,27058,3.928,0.286,0.671,7.55,7741,18149,1025,5
72,96,6912,1.333,0.488,0.582,15.69,3374,4025,215,3
163,161,26243,0.988,0.523,0.897,8.4,13725,23547,1634,3
83,314,26062,3.783,0.282,0.619,8.77,7353,16139,838,5
186,469,87234,2.522,0.378,0.529,22.29,33017,46133,1481,3
187,141,26367,0.754,0.415,0.884,4.69,10947,23301,2333,3
197,198,39006,1.005,0.273,0.332,46.93,10654,12964,227,5
160,286,45760,1.788,0.201,0.226,55.42,9199,10347,166,5
91,285,25935,3.132,0.158,0.165,113.89,4100,4287,36,5
64,73,4672,1.141,0.403,0.445,72.38,1882,2077,26,3
63,66,4158,1.048,0.491,0.591,44.37,2041,2458,46,3
65,50,3250,0.769,0.454,0.487,245.83,1475,1582,6,3
63,79,4977,1.254,0.338,0.345,186.78,1681,1718,9,3
118,105,12390,0.89,0.052,0.105,3.33,642,1296,193,5
158,167,26386,1.057,0.16,0.276,8.24,4213,7279,511,5
11,48,528,4.364,0.237,0.39,7.35,125,206,17,5
